provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,log_phase_route,log_phase_reasoning_effort,log_phase_max_new_tokens,log_phase_rescue_enabled,log_phase_rescue_used_count,log_phase_rescue_used_rate,answer_chars,final_marker_line_present,final_marker_is_last_line,prompt_leakage_flag,ponder_log_count,ponder_log_marker_count,ponder_log_marker_rate,ponder_log_skeleton_prefix_count,ponder_log_skeleton_prefix_rate,ponder_log_skeleton_complete_count,ponder_log_skeleton_complete_rate,final_finish_reason,final_finish_is_length,ponder_finish_length_count,ponder_finish_stop_count,elapsed_s,diff_ratio,answer_cosine,query_alignment_delta,stance_shift,spatial_log_density,api_total_delta,api_prompt_delta,api_completion_delta,external_scaffold_tokens,all_api_calls,all_api_total_tokens,warnings_count
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_inherit_1024_no_rescue,facts,512,log_skeleton_closure,inherit_1024_no_rescue,inherit,0,0,0,0.0,139.0,0,0,0,1,0,0.0,3,0.75,0,0.0,length,1,1,0,51.59245262500008,0.7849117174959872,0.17453059591291809,-0.06961055723253784,0.3555555555555556,23.25581395348837,2983.0,787.0,-107.0,559.0,11.0,7177.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_1024_no_rescue,facts,512,log_skeleton_closure,low_1024_no_rescue,low,0,0,0,0.0,135.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,45.06636479200097,0.8255250403877221,0.14320969403312012,-0.0920198022494786,0.33333333333333337,14.285714285714286,2600.0,791.0,-85.0,596.0,11.0,6794.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_inherit_2048_no_rescue,facts,512,log_skeleton_closure,inherit_2048_no_rescue,inherit,2048,0,0,0.0,608.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,54.761635250000836,0.8644688644688645,0.2177784190604256,0.031074521888955167,0.4444444444444444,0.0,3994.0,794.0,180.0,608.0,11.0,8188.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_2048_rescue,facts,512,log_skeleton_closure,low_2048_rescue,low,2048,1,0,0.0,141.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,45.36848762500085,0.8144,0.12543251986015214,-0.061232141585997615,0.41269841269841273,0.0,2609.0,786.0,-95.0,568.0,11.0,6803.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_inherit_1024_no_rescue,isomorphic,512,log_skeleton_closure,inherit_1024_no_rescue,inherit,0,0,0,0.0,146.0,0,0,0,1,0,0.0,3,0.75,0,0.0,length,1,1,0,48.91278712500025,0.8507936507936508,0.11857793496357753,-0.09867436334488533,0.6666666666666667,0.0,3182.0,986.0,-108.0,585.0,11.0,7376.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_1024_no_rescue,isomorphic,512,log_skeleton_closure,low_1024_no_rescue,low,0,0,0,0.0,132.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,47.07179866600018,0.8863636363636364,0.0861951106075481,-0.1260383604092742,0.5555555555555556,13.333333333333334,2914.0,1007.0,-92.0,602.0,11.0,7108.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_inherit_2048_no_rescue,isomorphic,512,log_skeleton_closure,inherit_2048_no_rescue,inherit,2048,0,0,0.0,135.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,54.401716292000856,0.9030694668820678,0.12963396910753852,-0.13209759563510134,0.6666666666666667,0.0,4092.0,982.0,-86.0,589.0,11.0,8286.0,0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_2048_rescue,isomorphic,512,log_skeleton_closure,low_2048_rescue,low,2048,1,0,0.0,144.0,0,0,0,1,1,1.0,4,1.0,1,1.0,length,1,0,1,42.872260666999864,0.9299363057324841,0.07946928198577308,-0.1296589620744792,1.0,13.513513513513514,2845.0,1000.0,-89.0,591.0,11.0,7039.0,0
