provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,prior_item,step_drift,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,query_alignment_delta,answer_chars
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_64,assoc,64,none,baseline,0.5257289115359391,0.5257289115359391,0.47427108846406085,0.20835744369228199,0.5740402703374958,0.0,divergence,-0.010085002606251316,137.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_128,assoc,128,none,assoc_dose_64,0.43238046738476976,0.41522284939811305,0.584777150601887,0.40454630593815966,0.6949813466774012,0.0382933916079683,mixed,0.16186956457107993,810.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_256,assoc,256,none,assoc_dose_128,0.4320981534566313,0.5804809931072901,0.5679018465433687,0.3087280810843368,0.5463765785483704,0.018890209506698216,divergence,0.1077425773496762,132.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,assoc_dose_512,assoc,512,none,assoc_dose_256,0.591410303398212,0.6101811243175814,0.5885826453592331,0.17008770622730168,0.5597649077436987,0.0,divergence,-0.02533783517862885,137.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_64,random,64,none,assoc_dose_512,0.44349077495633227,0.40202694067535005,0.8076184324089911,0.3530674672738802,0.7180611354798975,0.03675850715016707,recurring_shift,0.1289121764705025,546.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_128,random,128,none,random_dose_64,0.3727226138323796,0.5339018175762911,0.6272773861676204,0.15692237184155122,0.6006013886780859,0.0,divergence,-0.016203914186902712,151.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_256,random,256,none,random_dose_128,0.5030836773781784,0.6119315152103095,0.5456590247056899,0.18389635606299368,0.5596869016848797,0.0,divergence,-0.015398684109709852,127.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,random_dose_512,random,512,none,random_dose_256,0.6097204393102513,0.5790410481855178,0.6367134407650853,0.2418456218599672,0.46712774474490143,0.00682331656597859,divergence,0.04431117569985491,136.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_64,facts,64,none,random_dose_512,0.43970374930319944,0.40007007768628067,0.7461469259695985,0.3020822775965398,0.5779650509866676,0.00907730685031293,mixed,0.04027239106902862,341.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128,facts,128,none,facts_dose_64,0.39644999007949355,0.546378032068237,0.6324822783386131,0.518885320637176,0.5550084795434399,0.10219228120202638,divergence,0.3113854731314633,139.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_256,facts,256,none,facts_dose_128,0.5606465546783848,0.5451601543507717,0.5594780001730131,0.2135819996104651,0.48788770914732515,0.002398467406554584,divergence,0.02007179251997922,124.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512,facts,512,none,facts_dose_256,0.5956473040949036,0.5315459832498329,0.5932986432073419,0.261694267281867,0.5612961271600263,0.004599742416548227,divergence,0.029625517672351886,123.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_64,isomorphic,64,none,facts_dose_512,0.6000735776773571,0.5516343572437166,0.6129537555031983,0.19102750438352556,0.42446793699938046,0.0007626234987001525,divergence,0.0065130823714147495,138.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128,isomorphic,128,none,isomorphic_dose_64,0.5568136754033777,0.5802496179557605,0.5808630250762774,0.15054730222068635,0.563625642842033,0.0,divergence,-0.011486558217556762,116.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_256,isomorphic,256,none,isomorphic_dose_128,0.44938507504780567,0.5466141483339862,0.5780562162800038,0.1618914525552135,0.4999812305639665,0.0,divergence,-0.019188503865883617,134.0
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512,isomorphic,512,none,isomorphic_dose_256,0.5473186404192028,0.5502574922641161,0.599792182857996,0.23929751610686245,0.5524900798763044,0.005494891423701205,divergence,0.03828424822798372,151.0
