provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,query_alignment_delta,diff_ratio,stance_shift,spatial_log_density,api_total_delta,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,is_baseline_reference
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_final_closure,isomorphic,128,log_final_closure,509.0,0.12354366021794669,0.9111111111111111,0.2857142857142857,18.867924528301888,1847.0,0.4607642062959474,0.8039647979577336,0.3463597623195243,0.5687781375164921,0.03440209812764647,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_final_closure,isomorphic,512,log_final_closure,504.0,0.0944169902410338,0.9136,0.19047619047619047,40.0,2623.0,0.45659813796462034,0.8112923357396747,0.32272428730217406,0.6027823439475328,0.0247206095842619,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,log_skeleton_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure,isomorphic,128,log_skeleton_closure,138.0,,,,,,0.6553853334327633,0.5953583587319912,0.1762018102122618,0.5185288094843709,,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure,isomorphic,512,log_skeleton_closure,145.0,,,,,,0.6267005306067918,0.6005071249741768,0.213630939616813,0.5554315009844134,,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,log_skeleton_final_closure,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_final_closure,isomorphic,128,log_skeleton_final_closure,428.0,,,,,,0.476203332058703,0.7948320803885623,0.286534941546878,0.5707313818737539,,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_final_closure,isomorphic,512,log_skeleton_final_closure,488.0,,,,,,0.47771800712882106,0.7859804774033122,0.3060035998659929,0.576196218287168,,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,none,121.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_none,isomorphic,128,none,231.0,0.03642989226461289,0.8693181818181819,0.22857142857142856,0.0,2026.0,0.5420524832287248,0.6702518608464534,0.23217922683970693,0.5011201645957012,0.005669167332886538,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_none,isomorphic,512,none,143.0,0.04638870368334747,0.9318181818181819,0.7142857142857143,0.0,3053.0,0.6032738668699293,0.6532929271005811,0.24797528942210748,0.5269871596236054,0.007514993315152373,divergence,False
