provider,query_id,model,condition,scaffold_condition,scaffold_dose,output_contract,answer_chars,query_alignment_delta,diff_ratio,stance_shift,spatial_log_density,api_total_delta,origin_drift,recurrence,query_relevance,scaffold_leakage,coil_index,attractor_class,is_baseline_reference
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,facts,0,log_skeleton_closure,232.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_high_log1024_final2048,facts,128,log_skeleton_closure,152.0,-0.07248459965284507,0.6666666666666667,0.16666666666666666,0.0,1972.0,0.42606335508412907,0.5739366449158709,0.24183722429674795,0.51926260846899,0.0,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log1024_final2048,facts,128,log_skeleton_closure,140.0,-0.060762998222682975,0.9086021505376344,0.35555555555555557,0.0,1599.0,0.47796411942552186,0.5220358805744781,0.2747041437270061,0.4919846636383975,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log1024_final_low2048,facts,128,log_skeleton_closure,649.0,0.08875107197937712,0.8569807037457435,0.24358974358974358,12.658227848101266,467.0,0.29695918150879264,0.7030408184912074,0.4250625468677983,0.6515032358555283,0.0265220438226887,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log1024_final_low4096,facts,128,log_skeleton_closure,614.0,0.052011792746814514,0.8770685579196218,0.22916666666666666,0.0,809.0,0.30026821246119184,0.8287383401389891,0.3757201265094882,0.6473159709850992,0.016195102998916973,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_low_log2048_rescue_final_low4096,facts,128,log_skeleton_closure,714.0,0.048042997119960684,0.9090909090909091,0.18055555555555552,29.41176470588235,667.0,0.28702389776642945,0.8398161038477965,0.36610298728008767,0.6646028023740652,0.014771260709894925,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_128_log_skeleton_closure_medium_log1024_final_medium4096,facts,128,log_skeleton_closure,847.0,0.03762565271720576,0.8776645041705282,0.3472222222222222,0.0,1240.0,0.28639662562248513,0.8623430583374496,0.37223625065730204,0.66619998215006,0.012077659443133446,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_high_log1024_final2048,facts,512,log_skeleton_closure,141.0,0.14528918369510335,0.5871313672922251,0.3055555555555556,0.0,2986.0,0.34093778680525744,0.6902551248474434,0.43578011223562696,0.6321954228176433,0.0437029073858059,mixed,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log1024_final2048,facts,512,log_skeleton_closure,129.0,-0.07128996090660618,0.778393351800554,0.33333333333333337,0.0,2964.0,0.504729061050141,0.6087419620014561,0.2483406304158105,0.614663025843441,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log1024_final_low2048,facts,512,log_skeleton_closure,871.0,0.04227625004729264,0.9038984587488668,0.1324786324786325,0.0,2206.0,0.2949074303823993,0.8684217898855732,0.35654570436042027,0.7438597545000311,0.013090082338655775,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log1024_final_low4096,facts,512,log_skeleton_closure,737.0,0.043237006005045556,0.8637770897832817,0.2916666666666667,0.0,1943.0,0.28508223393634635,0.8519784120267719,0.35970978072278503,0.7061519346203253,0.013250627651837706,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,facts,512,log_skeleton_closure,898.0,0.0755497630932028,0.8938053097345133,0.15686274509803924,27.027027027027028,1604.0,0.29827076848369805,0.8675835769175274,0.43739039136954944,0.7113177862044313,0.0286690741155041,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,facts_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,facts,512,log_skeleton_closure,863.0,0.02909890875184816,0.908675799086758,0.22666666666666666,0.0,2530.0,0.28959800098069366,0.8714323450742685,0.3472895834929804,0.7214610532723326,0.008806475591687865,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,baseline,isomorphic,0,log_skeleton_closure,232.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,0.0,baseline_reference,True
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_high_log1024_final2048,isomorphic,128,log_skeleton_closure,139.0,-0.09741071499713819,0.8921832884097035,0.5,0.0,2130.0,0.508969448886091,0.6037676505873527,0.17366136762138687,0.4547621796208071,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final2048,isomorphic,128,log_skeleton_closure,131.0,-0.09707301611325332,0.8292011019283747,0.6666666666666667,0.0,2142.0,0.5051377999367475,0.5869748689725386,0.2258985644650219,0.4493202272930833,0.0,divergence,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low2048,isomorphic,128,log_skeleton_closure,446.0,-0.043344758767528066,0.8908554572271387,0.2698412698412698,0.0,578.0,0.3637643001934987,0.7944575173608839,0.3095770713381987,0.5700221295442802,0.0,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log1024_final_low4096,isomorphic,128,log_skeleton_closure,398.0,0.07185172967846355,0.9555555555555556,0.2222222222222222,0.0,682.0,0.3690055231593563,0.7929577428574341,0.3757001841194568,0.5543069139418877,0.02140566277988624,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_low_log2048_rescue_final_low4096,isomorphic,128,log_skeleton_closure,452.0,0.01827251047286145,0.956140350877193,0.4027777777777778,0.0,702.0,0.3477224482125024,0.8023679394818928,0.3628091831853228,0.5559024496221683,0.00531924577945385,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_128_log_skeleton_closure_medium_log1024_final_medium4096,isomorphic,128,log_skeleton_closure,617.0,0.05023556144401185,0.9222614840989399,0.2777777777777778,13.513513513513514,1148.0,0.31982722751563486,0.823320085727634,0.3854725797555293,0.6035458747014817,0.015943125374069993,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_high_log1024_final2048,isomorphic,512,log_skeleton_closure,465.0,-0.06859777260731915,0.9081779053084649,0.37777777777777777,0.0,3165.0,0.3553584591966412,0.7848448388995198,0.26291856064073404,0.6055058755862067,0.0,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final2048,isomorphic,512,log_skeleton_closure,772.0,0.06423952334439884,0.8745019920318725,0.16666666666666666,21.27659574468085,3077.0,0.2940044850390622,0.8543881207129514,0.4237158370100886,0.6287119812235865,0.023255849481605737,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low2048,isomorphic,512,log_skeleton_closure,451.0,0.08016324567653399,0.9238653001464129,0.20833333333333334,26.31578947368421,1558.0,0.3695751312026627,0.8010010804330598,0.4165198852996954,0.5951191365274808,0.026745094376659888,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log1024_final_low4096,isomorphic,512,log_skeleton_closure,701.0,0.04993163240287546,0.9035369774919614,0.2222222222222222,0.0,1759.0,0.292721167571547,0.8549621560350298,0.39258933204377866,0.6229812575369822,0.016759503570930093,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_low_log2048_rescue_final_low4096,isomorphic,512,log_skeleton_closure,487.0,0.06465270614968864,0.847009735744089,0.15555555555555556,0.0,1557.0,0.333826889633866,0.8309586693027521,0.3949568772967843,0.6159329496738414,0.02121855532192123,recurring_shift,False
gemini,non_relative_not_absolute,gemini-3.1-pro-preview,isomorphic_dose_512_log_skeleton_closure_medium_log1024_final_medium4096,isomorphic,512,log_skeleton_closure,497.0,0.05433070068339725,0.8491083676268861,0.3194444444444444,0.0,2552.0,0.3218864056141594,0.8249022267753774,0.4152311112469955,0.578267511298485,0.018609626962044833,recurring_shift,False
