provider,condition,answer_chars_mean,query_alignment_delta_mean,api_total_delta_mean,stance_shift_mean,diff_ratio_mean
claude,assoc,743.0,-0.02322152319512517,15000.0,0.33888888888888885,0.9238064788624825
claude,facts,887.3333333333334,-0.01872509788340744,24502.666666666668,0.23247863247863246,0.8604429937655537
claude,isomorphic,778.3333333333334,-0.015434441233749976,26370.0,0.2388888888888889,0.9366815402251073
claude,random,1067.3333333333333,-0.03503679893324332,14653.333333333334,0.5138888888888888,0.9265410284390008
gemini,assoc,30.333333333333332,0.25505155662451234,770.6666666666666,0.5,0.9191881740364
gemini,facts,28.0,0.02297482098278968,1181.6666666666667,0.16666666666666666,0.7441411634960021
gemini,isomorphic,30.333333333333332,0.5590790194322243,1302.6666666666667,0.5,0.8455323702514713
gemini,random,30.0,0.2365891334843748,732.3333333333334,0.3333333333333333,0.7427252804229934
