provider,condition,answer_chars_mean,query_alignment_delta_mean,api_total_delta_mean,stance_shift_mean,diff_ratio_mean
claude,assoc,1781.3333333333333,0.0028125934239169315,5892.666666666667,0.25005224660397074,0.9417613178474312
claude,facts,1542.6666666666667,-0.027712459858672368,9217.0,0.26435786435786435,0.9611500409269036
claude,isomorphic,1779.3333333333333,-0.02182544329762536,12486.333333333334,0.3111111111111111,0.9428175331791787
claude,random,1755.3333333333333,-0.01692053535769603,6376.333333333333,0.2613816738816739,0.9561739601982436
gemini,assoc,518.6666666666666,0.02610532885543646,1688.0,0.5,0.917865722074647
gemini,facts,193.0,0.020205108023533924,2427.0,0.25,0.8260063092748934
gemini,isomorphic,436.3333333333333,0.004408204369478269,2623.6666666666665,0.47222222222222215,0.8640943734866483
gemini,random,480.6666666666667,0.07789614353080669,1654.6666666666667,0.4523809523809524,0.9261561723879382
